id,name,team,type
"0","Panini Logo","We Are Panini","logo"
"FWC01","Official Emblem1","FIFA World Cup 2026","fwc_special"
"FWC02","Official Emblem2","FIFA World Cup 2026","fwc_special"
"FWC03","Official Mascots","FIFA World Cup 2026","fwc_special"
"FWC04","Official Slogan","FIFA World Cup 2026","fwc_special"
"FWC05","Official Ball","FIFA World Cup 2026","fwc_special"
"FWC06","Canada","Host Countries and Cities","fwc_special"
"FWC07","Mexico","Host Countries and Cities","fwc_special"
"FWC08","USA","Host Countries and Cities","fwc_special"
"MEX01","Emblem","Mexico","team_badge"
"MEX02","Luis Malagón","Mexico","player"
"MEX03","Johan Vasquez","Mexico","player"
"MEX04","Jorge Sánchez","Mexico","player"
"MEX05","Cesar Montes","Mexico","player"
"MEX06","Jesus Gallardo","Mexico","player"
"MEX07","Israel Reyes","Mexico","player"
"MEX08","Diego Lainez","Mexico","player"
"MEX09","Carlos Rodriguez","Mexico","player"
"MEX10","Edson Alvarez","Mexico","player"
"MEX11","Orbelin Pineda","Mexico","player"
"MEX12","Marcel Ruiz","Mexico","player"
"MEX13","Team Photo","Mexico","player"
"MEX14","Érick Sánchez","Mexico","player"
"MEX15","Hirving Lozano","Mexico","player"
"MEX16","Santiago Giménez","Mexico","player"
"MEX17","Raúl Jiménez","Mexico","player"
"MEX18","Alexis Vega","Mexico","player"
"MEX19","Roberto Alvarado","Mexico","player"
"MEX20","Cesar Huerta","Mexico","player"
"RSA01","Emblem","South Africa","team_badge"
"RSA02","Ronwen Williams","South Africa","player"
"RSA03","Sipho Chaine","South Africa","player"
"RSA04","Aubrey Modiba","South Africa","player"
"RSA05","Samukele Kabini","South Africa","player"
"RSA06","Mbekezeli Mbokazi","South Africa","player"
"RSA07","Khulumani Ndamane","South Africa","player"
"RSA08","Siyabonga Ngezana","South Africa","player"
"RSA09","Khuliso Mudau","South Africa","player"
"RSA10","Nkosinathi Sibisi","South Africa","player"
"RSA11","Teboho Mokoena","South Africa","player"
"RSA12","Thalente Mbatha","South Africa","player"
"RSA13","Team Photo","South Africa","player"
"RSA14","Bathusi Aubaas","South Africa","player"
"RSA15","Yaya Sithole","South Africa","player"
"RSA16","Sipho Mbule","South Africa","player"
"RSA17","Lyle Foster","South Africa","player"
"RSA18","Iqraam Rayners","South Africa","player"
"RSA19","Mohau Nkota","South Africa","player"
"RSA20","Oswin Appollis","South Africa","player"
"KOR01","Emblem","South Korea","team_badge"
"KOR02","Hyeon-woo Jo","South Korea","player"
"KOR03","Seung-Gyu Kim","South Korea","player"
"KOR04","Min-jae Kim","South Korea","player"
"KOR05","Yu-min Cho","South Korea","player"
"KOR06","Young-woo Seol","South Korea","player"
"KOR07","Han-beom Lee","South Korea","player"
"KOR08","Tae-seok Lee","South Korea","player"
"KOR09","Myung-jae Lee","South Korea","player"
"KOR10","Jae-sung Lee","South Korea","player"
"KOR11","In-beom Hwang","South Korea","player"
"KOR12","Kang-in Lee","South Korea","player"
"KOR13","Team Photo","South Korea","player"
"KOR14","Seung-ho Paik","South Korea","player"
"KOR15","Jens Castrop","South Korea","player"
"KOR16","Dongg-yeong Lee","South Korea","player"
"KOR17","Gue-sung Cho","South Korea","player"
"KOR18","Heung-min Son","South Korea","player"
"KOR19","Hee-chan Hwang","South Korea","player"
"KOR20","Hyeon-Gyu Oh","South Korea","player"
"CZE01","Emblem","Czechia","team_badge"
"CZE02","Matej Kovar","Czechia","player"
"CZE03","Jindrich Stanek","Czechia","player"
"CZE04","Ladislav Krejci","Czechia","player"
"CZE05","Vladimir Coufal","Czechia","player"
"CZE06","Jaroslav Zeleny","Czechia","player"
"CZE07","Tomas Holes","Czechia","player"
"CZE08","David Zima","Czechia","player"
"CZE09","Michal Sadilek","Czechia","player"
"CZE10","Lukas Provod","Czechia","player"
"CZE11","Lukas Cerv","Czechia","player"
"CZE12","Tomas Soucek","Czechia","player"
"CZE13","Team Photo","Czechia","player"
"CZE14","Pavel Sulc","Czechia","player"
"CZE15","Matej Vydra","Czechia","player"
"CZE16","Vasil Kusej","Czechia","player"
"CZE17","Tomas Chory","Czechia","player"
"CZE18","Vaclav Cerny","Czechia","player"
"CZE19","Adam Hlozek","Czechia","player"
"CZE20","Patrik Schick","Czechia","player"
"CAN01","Emblem","Canada","team_badge"
"CAN02","Dayne St.Clair","Canada","player"
"CAN03","Alphonso Davies","Canada","player"
"CAN04","Alistair Johnston","Canada","player"
"CAN05","Samuel Adekugbe","Canada","player"
"CAN06","Richie Laryea","Canada","player"
"CAN07","Derek Cornelius","Canada","player"
"CAN08","Moïse Bombito","Canada","player"
"CAN09","Kamal Miller","Canada","player"
"CAN10","Stephen Eustáquio","Canada","player"
"CAN11","Ismaël Koné","Canada","player"
"CAN12","Jonathan Osorio","Canada","player"
"CAN13","Team Photo","Canada","player"
"CAN14","Jacob Shaffelburg","Canada","player"
"CAN15","Mathieu Choinière","Canada","player"
"CAN16","Niko Sigur","Canada","player"
"CAN17","Tajon Buchanan","Canada","player"
"CAN18","Liam Millar","Canada","player"
"CAN19","Cyle Larin","Canada","player"
"CAN20","Jonathan David","Canada","player"
"BIH01","Emblem","Bosnia and Herzegovina","team_badge"
"BIH02","Nikola Vasilj","Bosnia and Herzegovina","player"
"BIH03","Amer Dedic","Bosnia and Herzegovina","player"
"BIH04","Sead Kolasinac","Bosnia and Herzegovina","player"
"BIH05","Tarik Muharemovic","Bosnia and Herzegovina","player"
"BIH06","Nihad Mujakic","Bosnia and Herzegovina","player"
"BIH07","Nikola Katic","Bosnia and Herzegovina","player"
"BIH08","Amir Hadziahmetovic","Bosnia and Herzegovina","player"
"BIH09","Benjamin Tahirovic","Bosnia and Herzegovina","player"
"BIH10","Armin Gigovic","Bosnia and Herzegovina","player"
"BIH11","Ivan Sunjic","Bosnia and Herzegovina","player"
"BIH12","Ivan Basic","Bosnia and Herzegovina","player"
"BIH13","Team Photo","Bosnia and Herzegovina","player"
"BIH14","Dzenis Burnic","Bosnia and Herzegovina","player"
"BIH15","Esmir Bajraktarevic","Bosnia and Herzegovina","player"
"BIH16","Amar Memic","Bosnia and Herzegovina","player"
"BIH17","Ermedin Demirovic","Bosnia and Herzegovina","player"
"BIH18","Edin Dzeko","Bosnia and Herzegovina","player"
"BIH19","Samed Bazdar","Bosnia and Herzegovina","player"
"BIH20","Haris Tabakovic","Bosnia and Herzegovina","player"
"QAT01","Emblem","Qatar","team_badge"
"QAT02","Meshaal Barsham","Qatar","player"
"QAT03","Sultan Albrake","Qatar","player"
"QAT04","Lucas Mendes","Qatar","player"
"QAT05","Homam Ahmed","Qatar","player"
"QAT06","Boualem Khoukhi","Qatar","player"
"QAT07","Pedro Miguel","Qatar","player"
"QAT08","Tarek Salman","Qatar","player"
"QAT09","Mohamed Al-Mannai","Qatar","player"
"QAT10","Karim Boudiaf","Qatar","player"
"QAT11","Assim Madibo","Qatar","player"
"QAT12","Ahmed Fatehi","Qatar","player"
"QAT13","Team Photo","Qatar","player"
"QAT14","Mohammed Waad","Qatar","player"
"QAT15","Abdulaziz Hatem","Qatar","player"
"QAT16","Hassan Al-Haydos","Qatar","player"
"QAT17","Edmilson Junior","Qatar","player"
"QAT18","Akram Hassan Afif","Qatar","player"
"QAT19","Ahmed Al Ganehi","Qatar","player"
"QAT20","Almoez Ali","Qatar","player"
"SUI01","Emblem","Switzerland","team_badge"
"SUI02","Gregor Kobel","Switzerland","player"
"SUI03","Yvon Mvogo","Switzerland","player"
"SUI04","Manuel Akanji","Switzerland","player"
"SUI05","Ricardo Rodriguez","Switzerland","player"
"SUI06","Nico Elvedi","Switzerland","player"
"SUI07","Aurèle Amenda","Switzerland","player"
"SUI08","Silvan Widmer","Switzerland","player"
"SUI09","Granit Xhaka","Switzerland","player"
"SUI10","Denis Zakaria","Switzerland","player"
"SUI11","Remo Freuler","Switzerland","player"
"SUI12","Fabian Rieder","Switzerland","player"
"SUI13","Team Photo","Switzerland","player"
"SUI14","Ardon Jashari","Switzerland","player"
"SUI15","Johan Manzambi","Switzerland","player"
"SUI16","Michel Aebischer","Switzerland","player"
"SUI17","Breel Embolo","Switzerland","player"
"SUI18","Ruben Vargas","Switzerland","player"
"SUI19","Dan Ndoye","Switzerland","player"
"SUI20","Zeki Amdouni","Switzerland","player"
"BRA01","Emblem","Brazil","team_badge"
"BRA02","Alisson","Brazil","player"
"BRA03","Bento","Brazil","player"
"BRA04","Marquinhos","Brazil","player"
"BRA05","Éder Militão","Brazil","player"
"BRA06","Gabriel Magalhães","Brazil","player"
"BRA07","Danilo","Brazil","player"
"BRA08","Wesley","Brazil","player"
"BRA09","Lucas Paquetá","Brazil","player"
"BRA10","Casemiro","Brazil","player"
"BRA11","Bruno Guimarães","Brazil","player"
"BRA12","Luiz Henrique","Brazil","player"
"BRA13","Team Photo","Brazil","player"
"BRA14","Vinicius Júnior","Brazil","player"
"BRA15","Rodrygo","Brazil","player"
"BRA16","João Pedro","Brazil","player"
"BRA17","Matheus Cunha","Brazil","player"
"BRA18","Gabriel Martinelli","Brazil","player"
"BRA19","Raphinha","Brazil","player"
"BRA20","Estévão","Brazil","player"
"MAR01","Emblem","Morocco","team_badge"
"MAR02","Yassine Bounou","Morocco","player"
"MAR03","Munir El Kajoui","Morocco","player"
"MAR04","Achraf Hakimi","Morocco","player"
"MAR05","Noussair Mazraoui","Morocco","player"
"MAR06","Nayef Aguerd","Morocco","player"
"MAR07","Romain Saïss","Morocco","player"
"MAR08","Jawad El Yamiq","Morocco","player"
"MAR09","Adam Masina","Morocco","player"
"MAR10","Sofyan Amrabat","Morocco","player"
"MAR11","Azzedine Ounahi","Morocco","player"
"MAR12","Eliesse Ben Seghir","Morocco","player"
"MAR13","Team Photo","Morocco","player"
"MAR14","Bilal El Khannouss","Morocco","player"
"MAR15","Ismael Saibari","Morocco","player"
"MAR16","Youssef En-Nesyri","Morocco","player"
"MAR17","Abde Ezzalzouli","Morocco","player"
"MAR18","Soufiane Rahimi","Morocco","player"
"MAR19","Brahim Diaz","Morocco","player"
"MAR20","Ayoub El Kaabi","Morocco","player"
